x, y, Phi, CP_pressureside
     -0.9998166,      0.0135397,      3.1280513,      0.9664357
     -0.9990834,      0.0406091,      3.1009686,      0.9806192
     -0.9976173,      0.0676488,      3.0738859,      1.1120999
     -0.9954196,      0.0946389,      3.0468032,      1.1517190
     -0.9924918,      0.1215595,      3.0197205,      1.1544937
     -0.9888361,      0.1483910,      2.9926378,      1.1544937
     -0.9844551,      0.1751137,      2.9655551,      1.1544937
     -0.9793521,      0.2017079,      2.9384724,      1.1528390
     -0.9735309,      0.2281542,      2.9113897,      1.1462684
     -0.9669956,      0.2544331,      2.8843070,      1.1417435
     -0.9597511,      0.2805255,      2.8572244,      1.1126650
     -0.9518027,      0.3064121,      2.8301417,      1.0213084
     -0.9431562,      0.3320739,      2.8030590,      0.9129239
     -0.9338179,      0.3574922,      2.7759763,      0.8005150
     -0.9237948,      0.3826483,      2.7488936,      0.6895933
     -0.9130942,      0.4075238,      2.7218109,      0.5831132
     -0.9017238,      0.4321004,      2.6947282,      0.4820895
     -0.8896922,      0.4563601,      2.6676455,      0.3863763
     -0.8770079,      0.4802850,      2.6405628,      0.2952050
     -0.8636805,      0.5038577,      2.6134801,      0.2075619
     -0.8497196,      0.5270609,      2.5863974,      0.1224208
     -0.8351355,      0.5498775,      2.5593147,      0.0388712
     -0.8199389,      0.5722908,      2.5322320,     -0.0438239
     -0.8041410,      0.5942844,      2.5051493,     -0.1262169
     -0.7877532,      0.6158421,      2.4780666,     -0.2086825
     -0.7707877,      0.6369481,      2.4509839,     -0.2915014
     -0.7532569,      0.6575870,      2.4239012,     -0.3747290
     -0.7351736,      0.6777436,      2.3968185,     -0.4610635
     -0.7165511,      0.6974031,      2.3697358,     -0.5523670
     -0.6977307,      0.7162406,      2.3431045,     -0.6527006
     -0.6787426,      0.7342596,      2.3169246,     -0.7412205
     -0.6592893,      0.7517754,      2.2907446,     -0.8266777
     -0.6393842,      0.7687760,      2.2645647,     -0.9089745
     -0.6190409,      0.7852496,      2.2383848,     -0.9834097
     -0.5982733,      0.8011852,      2.2122048,     -1.0559316
     -0.5770957,      0.8165716,      2.1860249,     -1.1299989
     -0.5555226,      0.8313984,      2.1598449,     -1.2051017
     -0.5335688,      0.8456554,      2.1336650,     -1.2800225
     -0.5112493,      0.8593328,      2.1074851,     -1.3635057
     -0.4885794,      0.8724213,      2.0813051,     -1.4415992
     -0.4655746,      0.8849118,      2.0551252,     -1.5011043
     -0.4422508,      0.8967959,      2.0289453,     -1.5391073
     -0.4186239,      0.9080654,      2.0027653,     -1.5718435
     -0.3947100,      0.9187125,      1.9765854,     -1.6000635
     -0.3705257,      0.9287300,      1.9504054,     -1.6240110
     -0.3460874,      0.9381110,      1.9242255,     -1.6437078
     -0.3214119,      0.9468490,      1.8980456,     -1.6590994
     -0.2965162,      0.9549381,      1.8718656,     -1.6692526
     -0.2714172,      0.9623728,      1.8456857,     -1.6743191
     -0.2461322,      0.9691479,      1.8195057,     -1.6790281
     -0.2206785,      0.9752588,      1.7933258,     -1.6887988
     -0.1950736,      0.9807013,      1.7671459,     -1.6960156
     -0.1693350,      0.9854716,      1.7409659,     -1.6982262
     -0.1434803,      0.9895666,      1.7147860,     -1.6982262
     -0.1175273,      0.9929834,      1.6886061,     -1.6982262
     -0.0914938,      0.9957196,      1.6624261,     -1.6936422
     -0.0653975,      0.9977734,      1.6362462,     -1.6811391
     -0.0392565,      0.9991434,      1.6100662,     -1.6593368
     -0.0130885,      0.9998287,      1.5838863,     -1.5810858
      0.0130885,      0.9998287,      1.5577064,     -1.4757047
      0.0392565,      0.9991434,      1.5315264,     -1.3728073
      0.0653975,      0.9977734,      1.5053465,     -1.2718278
      0.0914938,      0.9957196,      1.4791665,     -1.1782922
      0.1175273,      0.9929834,      1.4529866,     -1.0860721
      0.1434803,      0.9895666,      1.4268067,     -1.0434468
      0.1693350,      0.9854716,      1.4006267,     -1.0054343
      0.1950736,      0.9807013,      1.3744468,     -0.9577712
      0.2206785,      0.9752588,      1.3482668,     -0.8814040
      0.2461322,      0.9691479,      1.3220869,     -0.7721429
      0.2714172,      0.9623728,      1.2959070,     -0.6439233
      0.2965162,      0.9549381,      1.2697270,     -0.5879824
      0.3214119,      0.9468490,      1.2435471,     -0.5450237
      0.3460874,      0.9381110,      1.2173672,     -0.5095797
      0.3705257,      0.9287300,      1.1911872,     -0.4503224
      0.3947100,      0.9187125,      1.1650073,     -0.4431313
      0.4186239,      0.9080654,      1.1388273,     -0.4431313
      0.4422508,      0.8967959,      1.1126474,     -0.4717197
      0.4655746,      0.8849118,      1.0864675,     -0.5525076
      0.4885794,      0.8724213,      1.0602875,     -0.7390498
      0.5112493,      0.8593328,      1.0341076,     -0.5360003
      0.5335688,      0.8456554,      1.0079276,     -0.5179580
      0.5555226,      0.8313984,      0.9817477,     -0.5263496
      0.5770957,      0.8165716,      0.9555678,     -0.5029783
      0.5982733,      0.8011852,      0.9293878,     -0.4769092
      0.6190409,      0.7852496,      0.9032079,     -0.4769092
      0.6393842,      0.7687760,      0.8770279,     -0.4593541
      0.6592893,      0.7517754,      0.8508480,     -0.4421426
      0.6787426,      0.7342596,      0.8246681,     -0.4371003
      0.6977307,      0.7162406,      0.7984881,     -0.4371003
      0.7141489,      0.6999215,      0.7753372,     -0.4355154
      0.7282264,      0.6852597,      0.7550099,     -0.4248674
      0.7422809,      0.6700070,      0.7342677,     -0.4163729
      0.7562928,      0.6541459,      0.7131023,     -0.4036944
      0.7702414,      0.6376592,      0.6915049,     -0.3898920
      0.7841041,      0.6205295,      0.6694667,     -0.3814691
      0.7978571,      0.6027396,      0.6469788,     -0.3740652
      0.8114747,      0.5842727,      0.6240319,     -0.3531858
      0.8249295,      0.5651119,      0.6006168,     -0.3641738
      0.8381926,      0.5452408,      0.5767237,     -0.3720003
      0.8512329,      0.5246436,      0.5523431,     -0.3800389
      0.8640177,      0.5033047,      0.5274649,     -0.3800389
      0.8765119,      0.4812094,      0.5020790,     -0.3837244
      0.8886787,      0.4583438,      0.4761750,     -0.3971591
      0.9004789,      0.4346948,      0.4497423,     -0.3971591
      0.9118712,      0.4102503,      0.4227702,     -0.3991783
      0.9228121,      0.3849996,      0.3952477,     -0.4083155
      0.9332554,      0.3589333,      0.3671635,     -0.4139754
      0.9431530,      0.3320435,      0.3385061,     -0.4235934
      0.9524540,      0.3043243,      0.3092639,     -0.4336929
      0.9611051,      0.2757715,      0.2794248,     -0.4416197
      0.9690504,      0.2463834,      0.2489769,     -0.4611543
      0.9762317,      0.2161605,      0.2179075,     -0.4708468
      0.9825881,      0.1851062,      0.1862041,     -0.4849220
      0.9880560,      0.1532270,      0.1538537,     -0.5121537
      0.9925694,      0.1205324,      0.1208431,     -0.5406935
      0.9960599,      0.0870358,      0.0871587,     -0.5717901
      0.9984566,      0.0527545,      0.0527870,     -0.6079568
      0.9996863,      0.0177100,      0.0177137,     -0.6507942
